,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days,surprise
95777,2.7519,-37.624,10.01,1.2606,-0.18614,0.7191,7.8062,3.5328,0.3814,-0.047374,6,2.1
95820,1.4285,0.1518,7.562,2.4257,-0.22561,1.9092,13.076,11.02,3.2553,-0.0021623,1,3.3
95821,1.4766,0.1518,7.3233,2.3467,-0.21501,1.847,12.65,10.661,3.1492,-0.0018523,2,3.3
95822,1.4328,0.1518,7.5401,2.4184,-0.17977,1.9035,13.037,10.987,3.2456,-0.03438,3,3.3
95823,1.4002,0.1518,7.7101,2.4747,-0.18899,1.9478,13.34,11.242,3.3211,-0.0048374,4,3.3
95824,1.404,0.1518,7.6897,2.468,-0.198,1.9425,13.304,11.212,3.312,0.018321,5,3.3
95825,1.4109,0.1518,7.6534,2.456,-0.20228,1.9331,13.239,11.157,3.2959,0.015543,6,3.3
95832,9.2186,54.929,9.7854,3.1616,0.11315,1.3024,4.5807,3.8286,0.8408,-0.02523,1,0.7
95833,9.399,54.929,9.6275,3.1009,0.12306,1.2774,4.4928,3.7551,0.8246,-0.032945,2,0.7
95834,9.4676,54.929,9.569,3.0784,0.1236,1.2682,4.4602,3.7279,0.8186,-0.051499,3,0.7
95835,9.453,54.929,9.5814,3.0832,0.14036,1.2701,4.4671,3.7336,0.8199,-0.058383,4,0.7
95836,9.3496,54.929,9.6701,3.1173,0.16208,1.2842,4.5165,3.7749,0.829,-0.056924,5,0.7
95837,9.2948,54.929,9.718,3.1357,0.1538,1.2918,4.5432,3.7972,0.8339,-0.046494,6,0.7
95838,6.5161,-31.259,5.1373,2.0735,0.023487,1.5734,7.9436,12.012,1.1435,-0.0039358,1,4.9
95839,6.6094,-31.259,5.0855,2.0442,0.028845,1.5512,7.8315,11.843,1.1274,-0.015972,2,4.9
95840,6.5161,-31.259,5.1373,2.0735,0.035855,1.5734,7.9436,12.012,1.1435,-0.029862,3,4.9
95841,6.4963,-31.259,5.1485,2.0798,0.026604,1.5782,7.9679,12.049,1.147,-0.015972,4,4.9
95842,6.5146,-31.259,5.1381,2.074,0.029722,1.5737,7.9455,12.015,1.1438,-0.012962,5,4.9
95843,6.421,-31.259,5.1916,2.1042,0.023006,1.5967,8.0614,12.191,1.1604,-0.01574,6,4.9
95856,5.1716,-3.1691,4.8698,1.487,-0.30865,0.8676,6.7955,8.4114,0.3497,0.026229,1,0.8
95857,5.0859,-3.1691,4.9422,1.512,-0.33027,0.8822,6.91,8.5532,0.3556,0.028304,2,0.8
95858,5.0218,-3.1691,4.9979,1.5313,-0.34614,0.8934,6.9982,8.6623,0.3601,0.045643,3,0.8
95859,5.0043,-3.1691,5.0133,1.5367,-0.33999,0.8966,7.0227,8.6926,0.3614,0.05898,4,0.8
95860,4.9765,-3.1691,5.0381,1.5453,-0.32781,0.9016,7.0618,8.7411,0.3634,0.062686,5,0.8
95861,4.9821,-3.1691,5.0331,1.5435,-0.33367,0.9006,7.054,8.7314,0.363,0.068612,6,0.8
95868,1.5615,30.167,15.822,3.9691,-0.10676,3.4059,21.249,31.587,6.6202,0.0065996,1,14.2
95869,1.5952,30.167,15.405,3.8852,-0.27635,3.3339,20.8,30.92,6.4803,0.065604,2,14.2
95870,1.5837,30.167,15.545,3.9134,-0.28429,3.3581,20.951,31.144,6.5274,0.043089,3,14.2
95871,1.5564,30.167,15.886,3.9821,-0.27893,3.417,21.319,31.691,6.6419,0.050658,4,14.2
95872,1.588,30.167,15.493,3.903,-0.30046,3.3491,20.895,31.061,6.5099,0.069099,5,14.2
95873,1.5593,30.167,15.85,3.9747,-0.27954,3.4107,21.279,31.632,6.6296,0.047845,6,14.2
95916,1.623,25.695,10.911,6.0415,-0.33151,5.5795,21.169,19.868,2.0706,-0.017238,1,11.9
95917,1.6895,25.695,10.528,5.8421,-0.34055,5.3599,20.336,19.086,1.9891,-0.018428,2,11.9
95918,1.7003,25.695,10.457,5.8053,-0.32255,5.3261,20.208,18.966,1.9766,-0.05706,3,11.9
95919,1.6623,25.695,10.712,5.9379,-0.30448,5.4477,20.669,19.399,2.0217,-0.063004,4,11.9
95920,1.6649,25.695,10.694,5.9287,-0.31329,5.4393,20.637,19.369,2.0186,-0.041604,5,11.9
95921,1.6566,25.695,10.751,5.9581,-0.31283,5.4663,20.739,19.465,2.0286,-0.043093,6,11.9
95922,0,5.0459,9.1319,3.1211,0.045647,2.2506,14.283,6.803,1.7094,-0.0015376,1,4.8
95923,0,5.0459,8.9044,3.0423,-0.028051,2.1938,13.922,6.6311,1.6662,0.0049111,2,4.8
95924,0,5.0459,8.9798,3.0684,-0.029216,2.2126,14.042,6.6881,1.6805,-0.020471,3,4.8
95925,0,5.0459,9.1709,3.1346,-0.015904,2.2604,14.345,6.8324,1.7168,-0.012056,4,4.8
95926,0,5.0459,8.9798,3.0684,-0.036685,2.2503,14.281,6.802,1.7092,0.0092561,5,4.8
95927,0,5.0459,8.9996,3.0753,-0.036293,2.2553,14.313,6.8172,1.713,0.0047734,6,4.8
95958,0,12.88,33.895,37.977,-0.72154,38.358,70.585,45.385,5.1211,-0.019867,1,23.1
95959,0,12.88,35.05,39.257,-0.70104,39.651,72.965,46.916,5.2938,0.12921,2,23.1
95960,0,12.88,34.416,38.555,-0.71442,38.942,71.659,46.076,5.1991,0.1673,3,23.1
95961,0,12.88,34.225,38.343,-0.71491,38.727,71.264,45.822,5.1704,0.14642,4,23.1
95962,0,12.88,33.958,38.047,-0.70948,38.429,70.715,45.469,5.1306,0.14008,5,23.1
95963,0,12.88,33.996,38.089,-0.70676,38.471,70.792,45.519,5.1362,0.13131,6,23.1
