"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days","surprise"
"9640",103197,0.8061,-29.139,8.5766,1.8202,0.47158,1.7099,17.964,10.209,1.1984,-0.035868,4,51.8
"7325",85216,0,1152.9,7.9594,47.402,0.47074,45.477,55.692,12.191,0.3243,0.023041,5,-2.1
"8919",96956,0.6562,4.698,10.201,2.0617,0.47061,1.6708,15.63,19.914,2.1446,-0.041131,3,9.6
"6640",79617,2.8759,50.616,7.4833,2.5035,0.47056,1.8224,13.746,10.53,0.9723,-0.10788,4,0
"6641",79618,2.8789,50.616,7.4739,2.5009,0.4701,1.8205,13.732,10.519,0.9713,-0.10904,5,0
"9887",105310,0.6789,42.629,10.902,4.5239,0.47009,4.1813,19.716,311.46,2.3,-0.077618,5,9.9
"18671",183735,0,3.0488,7.6274,1.9304,0.46988,2.0499,19.38,84.757,0.8473,-0.026316,4,8.8
"8270",92515,0.7732,6.725,7.3364,2.6155,0.46986,2.319,11.165,12.133,1.9378,-0.023387,2,-16.1
"15968",160020,0.6396,-1.0256,6.6373,1.9792,0.46978,1.9408,17.872,13.988,0.8151,0.024344,1,13.8
"6679",80112,1.8966,9.1537,8.6912,2.4387,0.46969,2.0823,15.765,20.923,2.0089,-0.0075652,1,12.1
"6310",76311,0.8658,68.866,8.7418,4.9767,0.46968,4.6853,15.345,59.838,1.8514,-0.00099927,4,6
"6544",78399,3.4247,15.736,6.6618,1.5001,0.46957,0.8867,14.477,29.649,0.9089,0.025271,4,-20.4
"18934",186296,6.1447,-12.428,8.7017,2.197,0.46941,1.784,36.292,11.623,1.3565,0.0024399,3,-25.9
"10017",105950,0.5285,-51.502,17.4,5.3584,0.46938,4.3965,21.277,13.09,3.0088,-0.024765,3,6
"22389",222229,1.3853,40.235,14.139,4.6559,0.46911,4.5775,21.122,16.744,3.2891,-0.086111,2,4.8
"1247",28372,5.0062,100.85,8.2334,2.5546,0.46905,1.9942,7.3903,5.1866,1.6804,0.010736,5,-2.9
"6842",80965,0.1381,-67.665,10.949,1.8232,0.46883,1.7525,51.424,22.353,0.9102,-0.027979,2,7.1
"13793",138333,1.7399,-37.447,3.9456,2.2241,0.46871,1.964,7.2602,7.4197,0.3005,-0.067112,4,7.1
