,DY,EBITG,EV2EBITDA,M2B,MOMENTUM,PB,PE,PF,PS,RETURN,days
95287,1.5252,-6.2812,8.7451,2.7252,-0.32071,2.3769,15.208,26.255,2.5180000000000002,-0.013784999999999999,2
95288,1.5175,-6.2812,8.7832,2.7391,-0.32414,2.3890000000000002,15.286,26.389,2.5308,-0.01737,3
95289,1.5119,-6.2812,8.8107,2.7491,-0.34137,2.3977,15.342,26.485,2.5401,-0.0079538,4
95290,1.5264,-6.2812,8.738999999999999,2.7230000000000003,-0.34703,2.375,15.196,26.234,2.516,-0.0017446999999999999,5
95291,1.536,-6.2812,8.6925,2.7060000000000004,-0.3442,2.3602,15.100999999999999,26.07,2.5003,-0.00061744,6
95298,2.2205,23.93,5.6198,4.3367,-0.27447,3.5738,10.003,8.6995,2.2854,-0.029004000000000002,1
95299,2.1561,23.93,5.7787,4.4663,-0.31809,3.6805,10.302,8.9594,2.3537,-0.026954000000000002,2
95300,2.1606,23.93,5.7671,4.4569,-0.30884,3.6728,10.28,8.9405,2.3487,-0.024646,3
95301,2.1657,23.93,5.7542,4.4463,-0.29563,3.6641,10.255999999999998,8.9193,2.3432,-0.054825,4
95302,2.0987,23.93,5.9283,4.5883,-0.30374,3.7811,10.584000000000001,9.2041,2.418,-0.050618,5
95303,2.1081,23.93,5.9265,4.5868,-0.30273,3.7643,10.537,9.1633,2.4073,-0.027951999999999998,6
95388,1.1066,103.77,18.034000000000002,3.7262,-0.1652,3.3085,27.109,37.626999999999995,3.4824,-0.011361,1
95389,1.094,103.77,18.236,3.7689999999999997,-0.17212,3.3465,27.42,38.059,3.5224,-0.017059,2
95390,1.0877,103.77,18.339000000000002,3.7909,-0.16846,3.3659,27.579,38.279,3.5428,-0.018755,3
95391,1.0858,103.77,18.369,3.7974,-0.19577999999999998,3.3717,27.627,38.346,3.549,0.0080382,4
95392,1.1155,103.77,17.895,3.6965,-0.19325,3.2821,26.893,37.327,3.4546,0.0098284,5
95393,1.1175,103.77,17.864,3.6899,-0.20963,3.2763,26.845,37.26,3.4485,0.036712,6
95400,3.0716,-5.1303,8.1231,1.651,-0.1245,1.3367,12.960999999999999,6.071000000000001,1.075,0.005451600000000001,1
