"","X","DY","EBITG","EV2EBITDA","M2B","MOMENTUM","PB","PE","PF","PS","RETURN","days"
"21893",216340,5.9887,-36.471,7.061,0.9975,0.89231,0.9451,8.3293,8.8154,0.2553,-0.20077,5
"16436",162847,2.9003,-92.545,6.1395,0.6167,0.89195,0.5934,5.4824,11.5,0.5523,0.068512,2
"4327",56574,0,326.31,8.616,1.3777,0.89061,1.3213,31.914,12.565,2.1223,-0.013251,1
"4044",54293,0,-1.8584,7.7937,3.0746,0.89011,2.6002,10.741,8.8685,2.2855,0.13921,6
"19569",192122,2.9897,-138.27,6.035,0.548,0.89003,0.5347,9.8351,25.861,1.2884,-0.062426,3
"22045",217308,4.1061,15.196,19.604,1.461,0.8887,1.4339,26.594,36.38,3.5002,0.0082707,1
"4329",56576,0,326.31,8.7252,1.3913,0.88738,1.3343,32.229,12.688,2.1432,-0.036238,3
"20580",201605,4.8226,-46.575,6.0568,0.8347,0.88714,0.7909,9.3672,17.478,0.8669,-0.077733,6
"21894",216341,4.8904,-36.471,8.14,1.2216,0.88559,1.1574,10.2,10.795,0.3126,-0.19612,6
"5159",65476,3.2079,10.536,5.7679,1.5087,0.88547,1.2743,8.4931,10.309,1.0784,-0.035821,5
"3465",48548,7.3561,12.388,5.7946,0.5148,0.88487,0.4243,6.7639,5.2082,0.6674,-0.0088065,3
"4477",58206,2.8258,-168.82,11.087,1.8431,0.88431,1.5347,15.795,13.638,1.5489,-0.023927,1
"12306",124889,25.374,-9.5458,5.2834,0.9208,0.88266,0.5942,11.579,4.2989,0.5003,-0.048894,6
"3157",46242,15.056,66.667,7.302,1.1105,0.88182,0.884,9.3926,11.41,0.8913,0.041289,1
"3669",51008,20.092,-42.222,6.4372,0.9425,0.88124,0.7658,9.0492,11.787,0.7711,-0.26773,3
"4620",60137,5.8205,-43.769,3.636,1.4134,0.87384,1.0012,7.1261,38.538,0.4715,0.027917,6
"3676",51015,7.8594,-23.296,7.0099,1.9978,0.8734,1.3983,7.4071,6.0106,0.8641,-0.11868,4
"12305",124888,25.595,-9.5458,5.2681,0.9129,0.872,0.5891,11.479,4.2618,0.496,-0.041863,5
"19570",192123,2.9117,-138.27,6.109,0.5627,0.87002,0.549,10.099,26.554,1.3229,-0.062426,4
"12835",129024,23.422,28.459,5.1679,0.8585,0.86765,0.5681,9.8642,3.626,0.4765,-0.0013424,1
"21891",216338,6.1115,-36.471,6.9645,0.9775,0.86678,0.9261,8.1619,8.6383,0.2502,0.0072935,3
"4552",58929,0,-72.609,7.214,0.8775,0.86667,0.8471,3.5839,38.65,0.858,-0.021689,4
"18250",179499,2.1967,101.61,16.71,5.4908,0.86518,5.2264,12.31,9.1632,0.5169,-0.046965,4
"4662",60677,3.4084,-24.567,5.2943,1.4367,0.8627,1.1788,7.206,9.5923,0.912,-0.0089163,6
"18248",179497,2.2638,101.61,16.348,5.3281,0.86254,5.0716,11.946,8.8918,0.5016,-0.020555,2
"5243",65866,1.295,124.4,7.2372,5.5694,0.86008,4.4657,16.595,91.684,1.1705,0.18973,5
"3159",46244,14.542,66.667,7.434,1.1498,0.85979,0.9153,9.7246,11.813,0.9228,-0.049187,3
"3857",52102,3.7231,-9.8446,6.366,0.9825,0.85903,0.5268,6.523,2.6719,0.2265,-0.014828,5
"4042",54291,0,-1.8584,7.5223,2.9873,0.85834,2.5264,10.435,8.6166,2.2205,0.025742,4
"22421",222046,5.6238,-57.609,6.4289,2.5679,0.85834,2.4879,9.0825,6.9781,0.3884,0.017049,5
"4254",56309,2.3044,10.762,3.6441,2.0154,0.85775,1.81,4.1796,16.36,0.7547,0.061051,6
"4251",56306,2.2654,10.762,3.7013,2.0501,0.85595,1.8411,4.2516,16.642,0.7677,0.098739,3
