"","output","output.1","output.2","output.3","output.4","output.5","output.6","output.7","output.8","output.9","output.10","output.11"
"101",12,0,0.166666666666667,0,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0.25,1487980800
"102",9,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0,1487980800
"103",13,0,0,0,0,0,0,0,0,0,0.0769230769230769,1487980800
"104",9,0,0,0,0,0,0,0,0,0,0.111111111111111,1487980800
"105",8,0,0,0,0,0.125,0,0.125,0,0,0.125,1487980800
"106",11,0,0,0,0,0,0,0,0,0,0,1487980800
"107",11,0,0,0,0,0,0,0,0,0,0,1487980800
"108",6,0,0,0,0,0,0,0,0,0,0,1487894400
"109",6,0,0,0,0,0,0,0,0.166666666666667,0,0.333333333333333,1487894400
"110",3,0,0,0,0,0,0,0,0,0,0,1487894400
"111",7,0,0,0,0,0,0,0,0,0,0,1487894400
"112",12,0,0,0,0,0,0,0,0,0.0833333333333333,0,1487894400
"113",3,0,0,0,0,0,0,0,0,0,0,1487894400
"114",10,0,0,0,0,0,0,0,0,0,0.1,1487894400
"115",9,0,0,0,0,0,0,0,0,0,0,1487894400
"116",12,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0.0833333333333333,1487894400
"117",14,0,0.0714285714285714,0,0,0,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0.142857142857143,1487894400
"118",11,0,0,0,0,0,0,0,0,0,0.0909090909090909,1487894400
"119",9,0,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0,1487894400
"120",8,0,0.125,0,0,0,0,0,0,0,0.25,1487894400
"121",9,0.111111111111111,0,0,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0.111111111111111,1487894400
"122",11,0,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,1487894400
"123",7,0,0.142857142857143,0,0,0,0,0,0,0,0.285714285714286,1487894400
"124",11,0,0.0909090909090909,0,0,0,0,0,0,0,0.181818181818182,1487894400
"125",12,0,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,1487894400
"126",13,0.0769230769230769,0.153846153846154,0,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.230769230769231,1487894400
"127",11,0,0,0,0,0,0,0,0,0,0,1487894400
"128",11,0,0.0909090909090909,0,0,0,0,0,0,0.0909090909090909,0,1487894400
"129",9,0,0,0,0.111111111111111,0,0.222222222222222,0,0,0.222222222222222,0.111111111111111,1487894400
"130",6,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667,1487894400
"131",14,0,0,0,0,0,0,0,0,0,0,1487894400
"132",7,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,1487894400
"133",11,0,0,0,0,0,0,0,0,0,0,1487894400
"134",14,0,0,0,0,0,0,0,0,0,0,1487894400
"135",10,0,0.1,0,0,0,0,0,0,0,0.1,1487894400
"136",15,0,0,0,0,0,0,0,0,0,0,1487894400
"137",10,0,0,0,0,0,0,0,0,0,0.1,1487894400
"138",13,0,0,0,0,0,0,0,0,0,0.230769230769231,1487894400
"139",13,0.0769230769230769,0,0,0,0,0,0,0,0.0769230769230769,0.0769230769230769,1487894400
"140",11,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909,1487894400
"141",10,0,0,0,0,0,0,0,0,0,0,1487894400
"142",9,0,0,0,0,0.111111111111111,0,0,0.111111111111111,0,0.222222222222222,1487894400
"143",12,0,0,0,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,1487894400
"144",11,0,0,0,0,0,0,0,0,0,0,1487894400
