"","date","ticker","word_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","dy","ev2ebitda","m2b","pb","pe","pf","ps","mom","days","est_earning","surprise.1","ret_yesterday","y.return01"
"36","2017-01-25","AKS",261,3,9,1,4,1,3,0,15,8,13,0,9.8707,-9.4987,NA,17.5229,8.5526,0.3117,0.78917,1,0.09,55.6,-0.0656620021528525,0
"37","2017-01-26","AKS",52,0,0,0,0,0,0,0,2,1,4,0,9.8236,-9.4182,NA,17.3744,8.4801,0.3091,0.75787,2,0.09,55.6,-0.0483870967741935,0
"38","2017-01-27","AKS",27,0,1,0,0,0,0,0,1,1,0,0,9.7428,-9.2802,NA,17.1198,8.3558,0.3045,0.76313,3,0.09,55.6,-0.00847457627118653,0
"39","2017-01-28","AKS",20,1,1,0,0,1,1,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,0.75836,4,0.09,55.6,-0.0146520146520146,0
"40","2017-01-29","AKS",9,1,1,0,2,1,0,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,0.74784,5,0.09,55.6,-0.0146520146520146,0
"41","2017-01-30","AKS",44,0,1,0,0,0,0,0,1,1,3,0,9.7563,-9.3032,NA,17.1623,8.3765,0.3053,0.74257,6,0.09,55.6,-0.0146520146520146,1
"42","2017-01-25","AMD",72,1,4,0,1,1,0,1,4,2,8,0,NA,23.0603,23.2626,NA,NA,2.0159,0.78564,-6,-0.012,16.7,-0.195065535851966,0
"43","2017-01-26","AMD",106,1,4,2,4,2,1,1,7,3,13,0,NA,23.4391,23.6447,NA,NA,2.049,0.79617,-5,-0.012,16.7,-0.00862068965517238,1
"44","2017-01-27","AMD",229,4,13,0,9,5,6,3,10,14,22,0,NA,23.7733,23.9819,NA,NA,2.0782,0.79693,-4,-0.012,16.7,0.0164251207729469,1
"45","2017-01-29","AMD",16,1,1,0,2,1,0,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,0.79753,-2,-0.012,16.7,0.0142585551330798,1
"46","2017-01-30","AMD",114,2,7,1,4,5,2,3,5,4,12,0,NA,23.6396,23.847,NA,NA,2.0665,0.80506,-1,-0.012,16.7,0.0142585551330798,0
"47","2017-01-31","AMD",504,12,18,2,11,3,11,5,12,18,38,0,NA,23.1049,23.3076,NA,NA,2.0198,0.79265,0,-0.012,16.7,-0.00562324273664483,0
"48","2017-02-01","AMD",328,5,10,1,4,4,5,2,13,8,35,0,NA,26.8703,27.106,NA,NA,2.3489,0.79364,1,-0.012,16.7,-0.0226201696512724,1
"49","2017-02-02","AMD",222,1,5,0,0,1,0,0,4,4,19,0,NA,27.3605,27.6005,NA,NA,2.3918,0.83499,2,-0.012,16.7,0.162970106075217,1
"50","2017-02-03","AMD",97,3,1,2,2,1,2,1,7,5,15,0,NA,27.2713,27.5106,NA,NA,2.384,0.83143,3,-0.012,16.7,0.0182421227197345,0
"51","2017-02-04","AMD",41,0,2,0,0,1,1,0,2,1,6,NA,NA,NA,NA,NA,NA,NA,0.82925,4,-0.012,16.7,-0.0032573289902279,0
"52","2017-02-05","AMD",20,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.85473,5,-0.012,16.7,-0.0032573289902279,0
"53","2017-02-06","AMD",185,0,9,0,4,4,0,4,7,6,16,0,NA,30.3683,30.6347,NA,NA,2.6547,0.85478,6,-0.012,16.7,-0.0032573289902279,1
"54","2017-01-25","X",113,2,3,0,4,0,2,2,4,5,3,0.623,20.6478,2.4382,2.4537,NA,12.2103,0.4888,0.78363,-6,-0.024,1225,-0.151856302735873,0
"55","2017-01-26","X",16,0,1,0,0,1,0,1,1,0,3,0.5972,21.3488,2.5437,2.5598,NA,12.7383,0.51,0.78221,-5,-0.024,1225,-0.0322119689245695,1
"56","2017-01-27","X",58,0,0,0,0,0,0,2,3,1,5,0.5931,21.4647,2.5611,2.5773,NA,12.8256,0.5135,0.79447,-4,-0.024,1225,0.0432366427432216,1
"57","2017-01-29","X",9,1,1,0,2,1,0,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,0.80379,-2,-0.024,1225,0.0068556959606334,1
"58","2017-01-30","X",43,0,0,0,0,0,0,0,0,1,1,0.607,21.0765,2.5027,2.5186,NA,12.5332,0.5017,0.80454,-1,-0.024,1225,0.0068556959606334,0
"59","2017-01-31","X",358,8,9,2,6,6,6,4,21,7,26,0.6123,20.9302,2.4807,2.4964,NA,12.423,0.4973,0.79071,0,-0.024,1225,-0.0227995255041518,0
"60","2017-02-01","X",212,1,4,0,2,1,0,2,12,2,14,0.6393,20.2343,2.3761,2.3911,NA,11.8989,0.4764,0.78101,1,-0.024,1225,-0.00878875427905512,0
"61","2017-02-02","X",162,1,4,2,1,0,1,0,7,3,7,0.5747,22.0094,2.643,2.6598,NA,13.2358,0.5299,0.77672,2,-0.024,1225,-0.0421871555588214,1
"62","2017-02-03","X",87,2,0,0,0,0,1,0,4,5,4,0.5929,21.4698,2.5619,2.5781,NA,12.8294,0.5136,0.78681,3,-0.024,1225,0.112349242576805,0
"63","2017-02-06","X",174,0,9,0,0,0,2,2,9,4,12,0.5857,21.6816,2.5937,2.6102,NA,12.9889,0.52,0.77318,6,-0.024,1225,-0.0307025610372892,1
"64","2017-02-22","UNT",16,0,0,0,0,0,0,0,2,0,2,0,34.4683,1.0944,1.0945,NA,23.8037,2.1177,0.76444,-1,0.071,-57.7,-0.0120120120120121,0
"65","2017-02-23","UNT",89,0,1,0,1,1,0,1,1,1,2,0,35.8869,1.1672,1.1674,NA,25.3887,2.2587,0.78842,0,0.071,-57.7,-0.0357142857142858,1
"66","2017-02-24","UNT",18,0,0,0,0,0,1,0,1,1,3,0,35.0643,1.125,1.1251,NA,24.4696,2.1769,0.80126,1,0.071,-57.7,0.0665878644602049,0
"67","2017-02-28","UNT",11,0,0,0,0,0,0,0,0,0,1,0,35.9456,1.1702,1.1704,NA,25.4543,2.2645,0.79739,5,0.071,-57.7,-0.00664942741041741,1
"68","2017-03-01","UNT",25,0,0,0,0,0,0,0,0,0,0,0,36.3969,1.1934,1.1898,NA,25.8764,2.3021,0.70732,6,0.071,-57.7,0.00929713648196362,0
"69","2017-02-03","NVDA",151,4,8,3,4,1,4,1,10,6,11,0.4246,27.1894,10.6996,11.598,37.049,41.542,8.9536,0.73419,-6,0.979,15.4,0.0758980084918237,0
"70","2017-02-05","NVDA",54,1,5,1,1,3,0,0,3,1,10,NA,NA,NA,NA,NA,NA,NA,0.75794,-4,0.979,15.4,-0.00875355548112455,0
"71","2017-02-06","NVDA",166,2,16,0,2,2,0,2,16,1,17,0.414,27.934,10.9736,11.8951,37.998,42.6062,9.1829,0.75571,-3,0.979,15.4,-0.00875355548112455,1
"72","2017-02-07","NVDA",114,3,3,1,1,1,1,1,3,5,8,0.4076,28.3965,11.1439,12.0797,38.5876,43.2672,9.3254,0.77685,-2,0.979,15.4,0.0256163129246698,1
"73","2017-02-08","NVDA",76,1,3,0,0,0,0,1,4,0,5,0.4094,28.2644,11.0952,12.027,38.4191,43.0783,9.2847,0.79031,-1,0.979,15.4,0.0155144026950695,0
"74","2017-02-09","NVDA",516,5,21,6,5,10,4,6,21,15,26,0.4173,27.6977,10.8866,11.8008,37.6968,42.2684,9.1101,0.78714,0,0.979,15.4,-0.0043646064289905,0
"75","2017-02-10","NVDA",357,2,7,0,1,3,1,3,14,4,18,0.4274,26.9963,10.6285,11.521,36.8028,41.266,8.8941,0.78357,1,0.979,15.4,-0.0188012037767863,0
"76","2017-02-11","NVDA",28,0,0,1,0,0,0,0,2,1,2,NA,NA,NA,NA,NA,NA,NA,0.77945,2,0.979,15.4,-0.0237152347907184,0
"77","2017-02-12","NVDA",26,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.76485,3,0.979,15.4,-0.0237152347907184,0
"78","2017-02-13","NVDA",84,1,0,1,3,2,2,0,3,3,2,0.4481,25.6647,10.1383,10.9897,35.1055,39.3629,8.4839,0.75425,4,0.979,15.4,-0.0237152347907184,0
"79","2017-02-14","NVDA",93,1,1,2,0,1,4,1,1,2,2,0.4464,25.7663,10.1757,11.0302,35.2351,39.5082,8.5152,0.74865,5,0.979,15.4,-0.0461186780029046,1
"80","2017-02-15","NVDA",51,1,1,1,1,0,0,1,2,3,4,0.4455,25.8223,10.1963,11.0525,35.3063,39.5881,8.5324,0.72257,6,0.979,15.4,0.00369075620314963,0
"81","2017-02-15","TROX",51,1,1,1,1,0,0,1,2,3,4,1.2628,16.9558,1.6342,1.6304,NA,18.0299,0.7912,0.76987,-6,-0.22,36.4,0.00910526870020001,1
"82","2017-01-19","FCX",132,3,3,2,1,2,2,4,8,3,4,0,NA,3.6315,3.6441,11.0291,23.4883,1.3331,0.7235,-6,0.35,-28.6,0.0112806901128069,1
